algorithm,top200_coverage,top500_coverage,top1000_coverage
EXP,0.3677276284894338,0.5593529872162797,0.7312809809548656
KGW,0.4789332138054684,0.6844464365755266,0.8489466606902735
SWEET,0.4796227686089592,0.7120242505894241,0.8885146513977771
SynthID,0.4409426462237365,0.65587734241908,0.8333333333333334
Unigram,0.5848659003831418,0.7900383141762453,0.9275862068965516
