setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
nostop,SynthID,ai,med,ai__med,0.0608,0.1271,0.071,0.0884,0.0582,0.0634,0.0053
nostop,SynthID,ai,security,ai__security,0.0576,0.1231,0.0701,0.0854,0.0497,0.0655,0.0158
nostop,KGW,bio,med,bio__med,0.0518,0.1054,0.0651,0.0789,0.0574,0.0461,0.0113
nostop,SynthID,ai,bio,ai__bio,0.0421,0.0892,0.0572,0.0686,0.0393,0.0449,0.0056
nostop,KGW,ai,mis,ai__mis,0.0764,0.1582,0.0839,0.1053,0.0754,0.0774,0.002
nostop,SWEET,med,mis,med__mis,0.0538,0.1109,0.0692,0.086,0.0554,0.0522,0.0032
nostop,SynthID,bio,security,bio__security,0.0664,0.1452,0.0794,0.0953,0.0613,0.0714,0.01
nostop,SWEET,ai,security,ai__security,0.0551,0.1173,0.062,0.0775,0.0515,0.0587,0.0073
nostop,Unigram,bio,mis,bio__mis,0.0652,0.1394,0.0681,0.0805,0.0733,0.0571,0.0162
nostop,Unigram,bio,security,bio__security,0.0657,0.141,0.0734,0.0849,0.0585,0.0729,0.0144
nostop,EXP,mis,security,mis__security,0.0695,0.1498,0.0838,0.1018,0.0611,0.0778,0.0167
nostop,EXP,bio,med,bio__med,0.0502,0.1006,0.0647,0.0802,0.052,0.0484,0.0036
nostop,SWEET,ai,med,ai__med,0.0536,0.1118,0.0631,0.0791,0.0502,0.057,0.0068
nostop,EXP,bio,mis,bio__mis,0.0727,0.1511,0.085,0.1051,0.0778,0.0676,0.0103
nostop,EXP,med,security,med__security,0.0653,0.1377,0.0768,0.095,0.0615,0.069,0.0075
nostop,EXP,ai,security,ai__security,0.0631,0.1335,0.0737,0.0911,0.0583,0.0679,0.0096
nostop,SynthID,med,security,med__security,0.0674,0.1418,0.0783,0.0963,0.0661,0.0687,0.0025
nostop,KGW,mis,security,mis__security,0.0749,0.161,0.0861,0.1032,0.067,0.0827,0.0157
nostop,Unigram,med,mis,med__mis,0.0453,0.0969,0.0522,0.0628,0.0473,0.0434,0.0038
nostop,Unigram,med,security,med__security,0.0647,0.1372,0.0716,0.0857,0.0603,0.0691,0.0089
nostop,Unigram,mis,security,mis__security,0.0652,0.1379,0.069,0.0851,0.0519,0.0786,0.0268
nostop,SynthID,mis,security,mis__security,0.0726,0.1486,0.0832,0.1037,0.0644,0.0809,0.0165
nostop,KGW,ai,med,ai__med,0.0628,0.1334,0.0735,0.0901,0.0604,0.0651,0.0048
nostop,KGW,ai,security,ai__security,0.0574,0.1221,0.0708,0.0859,0.0497,0.0652,0.0156
nostop,KGW,med,mis,med__mis,0.056,0.1142,0.0695,0.0871,0.0571,0.0549,0.0022
nostop,SWEET,bio,med,bio__med,0.0425,0.0877,0.0536,0.0666,0.0449,0.0402,0.0047
nostop,KGW,bio,security,bio__security,0.0755,0.1622,0.0867,0.1037,0.0706,0.0804,0.0098
nostop,Unigram,ai,security,ai__security,0.0505,0.1092,0.0626,0.0727,0.0432,0.0578,0.0146
nostop,SWEET,ai,mis,ai__mis,0.0748,0.1522,0.0801,0.1013,0.0687,0.0809,0.0122
nostop,SynthID,bio,med,bio__med,0.0489,0.0998,0.0626,0.0767,0.0501,0.0478,0.0023
nostop,SWEET,bio,mis,bio__mis,0.074,0.1483,0.0784,0.1001,0.0742,0.0738,0.0004
nostop,SWEET,bio,security,bio__security,0.062,0.1314,0.0665,0.0841,0.0595,0.0645,0.005
nostop,KGW,med,security,med__security,0.0679,0.151,0.0807,0.0957,0.0619,0.0739,0.0119
nostop,Unigram,ai,med,ai__med,0.057,0.1195,0.0653,0.0783,0.0531,0.0609,0.0077
nostop,SWEET,mis,security,mis__security,0.0766,0.1611,0.0843,0.1053,0.0794,0.0738,0.0055
nostop,KGW,bio,mis,bio__mis,0.0822,0.1703,0.0896,0.1111,0.0877,0.0767,0.011
nostop,KGW,ai,bio,ai__bio,0.046,0.096,0.0621,0.0751,0.04,0.0519,0.0119
nostop,EXP,ai,bio,ai__bio,0.0473,0.0995,0.0615,0.0742,0.0456,0.0491,0.0035
nostop,Unigram,bio,med,bio__med,0.0417,0.0879,0.0513,0.0608,0.0442,0.0393,0.0049
nostop,SynthID,med,mis,med__mis,0.0536,0.1131,0.0716,0.087,0.0576,0.0497,0.0079
nostop,EXP,med,mis,med__mis,0.0489,0.1047,0.0693,0.0822,0.0517,0.0461,0.0056
nostop,SWEET,ai,bio,ai__bio,0.04,0.0831,0.0491,0.0613,0.0365,0.0435,0.007
nostop,Unigram,ai,bio,ai__bio,0.0419,0.0874,0.0536,0.0621,0.0377,0.0461,0.0084
nostop,EXP,bio,security,bio__security,0.0735,0.1526,0.0817,0.102,0.0703,0.0767,0.0064
nostop,SynthID,ai,mis,ai__mis,0.0706,0.1471,0.08,0.0999,0.0717,0.0695,0.0021
nostop,EXP,ai,med,ai__med,0.0631,0.1293,0.0729,0.0933,0.0633,0.0629,0.0004
nostop,SynthID,bio,mis,bio__mis,0.072,0.152,0.0838,0.1028,0.0773,0.0666,0.0107
nostop,SWEET,med,security,med__security,0.0599,0.1311,0.0703,0.086,0.0605,0.0594,0.0011
nostop,EXP,ai,mis,ai__mis,0.0687,0.1466,0.0813,0.1008,0.0732,0.0642,0.0089
nostop,Unigram,ai,mis,ai__mis,0.0623,0.1361,0.0677,0.0791,0.0675,0.0571,0.0104
