setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
nostop,SynthID,ai,med,ai__med,0.1047,0.2139,0.1015,0.1316,0.0986,0.1107,0.0121
nostop,SynthID,ai,security,ai__security,0.1028,0.2117,0.1026,0.1337,0.0977,0.1079,0.0102
nostop,KGW,bio,med,bio__med,0.1037,0.2149,0.1065,0.1325,0.1163,0.091,0.0254
nostop,SynthID,ai,bio,ai__bio,0.0934,0.1904,0.0932,0.1205,0.0857,0.1011,0.0154
nostop,KGW,ai,mis,ai__mis,0.1226,0.2494,0.1159,0.1517,0.1261,0.119,0.0071
nostop,SWEET,med,mis,med__mis,0.1135,0.2311,0.1114,0.1445,0.1044,0.1227,0.0183
nostop,SynthID,bio,security,bio__security,0.1128,0.2349,0.1128,0.142,0.1151,0.1106,0.0045
nostop,SWEET,ai,security,ai__security,0.0955,0.2002,0.0951,0.1202,0.0954,0.0957,0.0003
nostop,Unigram,bio,mis,bio__mis,0.1045,0.2155,0.1001,0.1224,0.1123,0.0967,0.0157
nostop,Unigram,bio,security,bio__security,0.1035,0.2115,0.1038,0.1254,0.0955,0.1115,0.016
nostop,EXP,mis,security,mis__security,0.1057,0.2213,0.1119,0.1401,0.1006,0.1107,0.0101
nostop,EXP,bio,med,bio__med,0.1081,0.2191,0.1108,0.1407,0.1083,0.1079,0.0003
nostop,SWEET,ai,med,ai__med,0.102,0.2127,0.0969,0.1257,0.1076,0.0965,0.011
nostop,EXP,bio,mis,bio__mis,0.1132,0.2426,0.1213,0.1473,0.1205,0.1059,0.0147
nostop,EXP,med,security,med__security,0.1034,0.2113,0.1057,0.1375,0.1008,0.106,0.0052
nostop,EXP,ai,security,ai__security,0.0931,0.1957,0.0975,0.1207,0.0876,0.0987,0.0111
nostop,SynthID,med,security,med__security,0.1094,0.2288,0.1101,0.1404,0.1128,0.106,0.0068
nostop,KGW,mis,security,mis__security,0.1058,0.2236,0.1116,0.1404,0.099,0.1125,0.0135
nostop,Unigram,med,mis,med__mis,0.0785,0.1759,0.0798,0.0958,0.0796,0.0773,0.0023
nostop,Unigram,med,security,med__security,0.0982,0.2017,0.0956,0.1174,0.0905,0.1059,0.0154
nostop,Unigram,mis,security,mis__security,0.0879,0.1892,0.0902,0.1087,0.077,0.0988,0.0218
nostop,SynthID,mis,security,mis__security,0.1173,0.238,0.1204,0.1541,0.1098,0.1249,0.015
nostop,KGW,ai,med,ai__med,0.1056,0.223,0.1077,0.1363,0.107,0.1043,0.0027
nostop,KGW,ai,security,ai__security,0.1019,0.209,0.1049,0.1341,0.0947,0.1091,0.0145
nostop,KGW,med,mis,med__mis,0.1006,0.2164,0.1082,0.1338,0.1026,0.0987,0.004
nostop,SWEET,bio,med,bio__med,0.0965,0.202,0.0928,0.1155,0.1014,0.0916,0.0098
nostop,KGW,bio,security,bio__security,0.1128,0.2306,0.1144,0.1444,0.1104,0.1152,0.0048
nostop,Unigram,ai,security,ai__security,0.0876,0.1765,0.0897,0.1106,0.0802,0.095,0.0148
nostop,SWEET,ai,mis,ai__mis,0.1176,0.2369,0.114,0.1477,0.1098,0.1255,0.0158
nostop,SynthID,bio,med,bio__med,0.1035,0.214,0.1015,0.1278,0.1041,0.103,0.0012
nostop,SWEET,bio,mis,bio__mis,0.1261,0.2433,0.1139,0.1493,0.1174,0.1347,0.0173
nostop,SWEET,bio,security,bio__security,0.1052,0.2166,0.1011,0.1274,0.0985,0.1119,0.0134
nostop,KGW,med,security,med__security,0.1094,0.2298,0.1117,0.1389,0.0996,0.1192,0.0195
nostop,Unigram,ai,med,ai__med,0.09,0.1834,0.0888,0.1106,0.0863,0.0936,0.0074
nostop,SWEET,mis,security,mis__security,0.1166,0.2416,0.1179,0.1467,0.1252,0.108,0.0171
nostop,KGW,bio,mis,bio__mis,0.1283,0.261,0.1249,0.1596,0.1417,0.1148,0.0268
nostop,KGW,ai,bio,ai__bio,0.0885,0.1817,0.0941,0.1174,0.0859,0.0911,0.0052
nostop,EXP,ai,bio,ai__bio,0.0866,0.1816,0.0909,0.1139,0.0825,0.0908,0.0083
nostop,Unigram,bio,med,bio__med,0.0881,0.1791,0.085,0.1064,0.0934,0.0828,0.0107
nostop,SynthID,med,mis,med__mis,0.1009,0.2087,0.1072,0.1351,0.1118,0.0901,0.0217
nostop,EXP,med,mis,med__mis,0.0956,0.2051,0.1081,0.1306,0.1004,0.0908,0.0096
nostop,SWEET,ai,bio,ai__bio,0.083,0.164,0.0796,0.1028,0.0853,0.0806,0.0047
nostop,Unigram,ai,bio,ai__bio,0.0741,0.1522,0.0821,0.0952,0.0715,0.0767,0.0052
nostop,EXP,bio,security,bio__security,0.1122,0.2305,0.1149,0.1441,0.1125,0.1119,0.0006
nostop,SynthID,ai,mis,ai__mis,0.1136,0.2316,0.1146,0.1464,0.1163,0.1108,0.0055
nostop,EXP,ai,med,ai__med,0.0989,0.2045,0.0986,0.1291,0.0979,0.1,0.0021
nostop,SynthID,bio,mis,bio__mis,0.1282,0.2531,0.1242,0.1621,0.1417,0.1147,0.027
nostop,SWEET,med,security,med__security,0.1029,0.2157,0.1015,0.1284,0.0972,0.1086,0.0114
nostop,EXP,ai,mis,ai__mis,0.105,0.2184,0.1061,0.1336,0.1058,0.1042,0.0016
nostop,Unigram,ai,mis,ai__mis,0.0898,0.1907,0.0886,0.106,0.0943,0.0853,0.009
