setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
nostop,SynthID,ai,med,ai__med,0.0719,0.1362,0.0775,0.101,0.0742,0.0697,0.0045
nostop,SynthID,ai,security,ai__security,0.0649,0.1272,0.0732,0.0915,0.0606,0.0693,0.0088
nostop,KGW,bio,med,bio__med,0.0757,0.1431,0.0797,0.1043,0.0887,0.0626,0.0262
nostop,SynthID,ai,bio,ai__bio,0.0567,0.108,0.0667,0.0863,0.0579,0.0555,0.0024
nostop,KGW,ai,mis,ai__mis,0.1087,0.2066,0.1059,0.1391,0.1043,0.1131,0.0088
nostop,SWEET,med,mis,med__mis,0.0817,0.1509,0.0851,0.1166,0.0816,0.0818,0.0003
nostop,SynthID,bio,security,bio__security,0.0772,0.1454,0.0832,0.1066,0.0697,0.0847,0.015
nostop,SWEET,ai,security,ai__security,0.0549,0.1041,0.0596,0.0765,0.0557,0.0542,0.0014
nostop,Unigram,bio,mis,bio__mis,0.1089,0.2135,0.0951,0.1248,0.1217,0.096,0.0257
nostop,Unigram,bio,security,bio__security,0.0887,0.1794,0.0881,0.1079,0.0825,0.095,0.0124
nostop,EXP,mis,security,mis__security,0.0963,0.1856,0.1043,0.1291,0.0811,0.1115,0.0304
nostop,EXP,bio,med,bio__med,0.0672,0.1312,0.0745,0.0915,0.0749,0.0596,0.0153
nostop,SWEET,ai,med,ai__med,0.0656,0.1257,0.0709,0.0914,0.0659,0.0653,0.0006
nostop,EXP,bio,mis,bio__mis,0.1006,0.2074,0.109,0.1323,0.1147,0.0866,0.028
nostop,EXP,med,security,med__security,0.0851,0.1626,0.0886,0.1116,0.0769,0.0933,0.0165
nostop,EXP,ai,security,ai__security,0.0797,0.1594,0.0892,0.1097,0.0751,0.0843,0.0092
nostop,SynthID,med,security,med__security,0.0733,0.139,0.0799,0.1035,0.0687,0.0778,0.0091
nostop,KGW,mis,security,mis__security,0.1,0.2093,0.1082,0.132,0.0967,0.1034,0.0067
nostop,Unigram,med,mis,med__mis,0.0666,0.1419,0.0644,0.0798,0.0758,0.0573,0.0184
nostop,Unigram,med,security,med__security,0.0913,0.1898,0.0935,0.1109,0.0875,0.0951,0.0077
nostop,Unigram,mis,security,mis__security,0.1074,0.2162,0.0981,0.129,0.0935,0.1213,0.0278
nostop,SynthID,mis,security,mis__security,0.094,0.1815,0.1034,0.1305,0.0894,0.0985,0.0092
nostop,KGW,ai,med,ai__med,0.0942,0.1748,0.0927,0.1267,0.0981,0.0903,0.0078
nostop,KGW,ai,security,ai__security,0.0796,0.1541,0.0871,0.1092,0.0756,0.0835,0.0079
nostop,KGW,med,mis,med__mis,0.0759,0.1484,0.0831,0.105,0.0703,0.0815,0.0112
nostop,SWEET,bio,med,bio__med,0.057,0.1085,0.0635,0.0795,0.0551,0.0588,0.0037
nostop,KGW,bio,security,bio__security,0.0822,0.1669,0.0903,0.1117,0.0811,0.0833,0.0022
nostop,Unigram,ai,security,ai__security,0.0756,0.1525,0.0798,0.0981,0.0638,0.0874,0.0236
nostop,SWEET,ai,mis,ai__mis,0.1111,0.2092,0.105,0.1383,0.1067,0.1156,0.0089
nostop,SynthID,bio,med,bio__med,0.065,0.1227,0.0746,0.0932,0.0642,0.0658,0.0017
nostop,SWEET,bio,mis,bio__mis,0.1122,0.2181,0.1085,0.138,0.1045,0.12,0.0155
nostop,SWEET,bio,security,bio__security,0.0648,0.1256,0.0638,0.0827,0.0669,0.0627,0.0042
nostop,KGW,med,security,med__security,0.0884,0.1755,0.0945,0.1196,0.0773,0.0996,0.0223
nostop,Unigram,ai,med,ai__med,0.0858,0.1754,0.0913,0.1063,0.0811,0.0905,0.0095
nostop,SWEET,mis,security,mis__security,0.1038,0.1939,0.1001,0.1304,0.1082,0.0995,0.0087
nostop,KGW,bio,mis,bio__mis,0.1063,0.2113,0.1088,0.1352,0.1072,0.1053,0.0018
nostop,KGW,ai,bio,ai__bio,0.0674,0.1259,0.076,0.0966,0.0603,0.0744,0.0141
nostop,EXP,ai,bio,ai__bio,0.0666,0.1231,0.0714,0.0919,0.0643,0.0688,0.0044
nostop,Unigram,bio,med,bio__med,0.0676,0.1353,0.0679,0.0837,0.0746,0.0606,0.014
nostop,SynthID,med,mis,med__mis,0.0699,0.1313,0.083,0.1052,0.0725,0.0672,0.0053
nostop,EXP,med,mis,med__mis,0.069,0.1451,0.0847,0.1,0.0742,0.0637,0.0106
nostop,SWEET,ai,bio,ai__bio,0.0474,0.0868,0.0499,0.0632,0.0485,0.0463,0.0022
nostop,Unigram,ai,bio,ai__bio,0.0585,0.1233,0.0667,0.0764,0.0508,0.0662,0.0154
nostop,EXP,bio,security,bio__security,0.0875,0.173,0.0941,0.1135,0.0852,0.0898,0.0046
nostop,SynthID,ai,mis,ai__mis,0.0901,0.1739,0.0981,0.1224,0.0916,0.0886,0.003
nostop,EXP,ai,med,ai__med,0.0895,0.1752,0.0904,0.1154,0.0938,0.0853,0.0085
nostop,SynthID,bio,mis,bio__mis,0.1011,0.1926,0.1058,0.1366,0.0999,0.1022,0.0024
nostop,SWEET,med,security,med__security,0.0645,0.1266,0.0688,0.0905,0.0667,0.0624,0.0043
nostop,EXP,ai,mis,ai__mis,0.1083,0.2231,0.1155,0.1399,0.1182,0.0983,0.0198
nostop,Unigram,ai,mis,ai__mis,0.1028,0.2041,0.0964,0.1198,0.1108,0.0947,0.0161
