setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
full,Unigram,ai,med,ai__med,0.0604,0.1195,0.2411,0.2551,0.0587,0.0621,0.0033
full,SynthID,bio,mis,bio__mis,0.0683,0.1275,0.3013,0.3213,0.0736,0.063,0.0106
nostop,SWEET,bio,med,bio__med,0.0712,0.1362,0.0674,0.0873,0.0705,0.0719,0.0015
full,KGW,bio,mis,bio__mis,0.0743,0.1369,0.3291,0.3497,0.0703,0.0783,0.0079
nostop,KGW,bio,security,bio__security,0.1063,0.2026,0.1027,0.1376,0.1078,0.1048,0.003
nostop,Unigram,ai,security,ai__security,0.0767,0.1577,0.0811,0.102,0.0657,0.0876,0.0219
nostop,SWEET,ai,mis,ai__mis,0.107,0.2042,0.1052,0.1316,0.097,0.117,0.02
nostop,SynthID,bio,med,bio__med,0.0837,0.1608,0.0874,0.1133,0.0877,0.0796,0.0081
full,SynthID,bio,med,bio__med,0.0465,0.0871,0.2867,0.3011,0.0505,0.0424,0.0081
nostop,SWEET,bio,mis,bio__mis,0.1145,0.2228,0.1067,0.1333,0.1017,0.1273,0.0256
nostop,SWEET,bio,security,bio__security,0.0742,0.1388,0.0653,0.0901,0.0766,0.0719,0.0047
nostop,KGW,med,security,med__security,0.0916,0.1858,0.0968,0.123,0.0844,0.0988,0.0144
full,SWEET,ai,security,ai__security,0.0404,0.0783,0.2158,0.2257,0.0423,0.0385,0.0038
nostop,Unigram,ai,med,ai__med,0.1034,0.2049,0.1024,0.1271,0.1061,0.1007,0.0055
full,Unigram,ai,bio,ai__bio,0.0469,0.0941,0.2274,0.2379,0.042,0.0517,0.0097
full,SynthID,bio,security,bio__security,0.0432,0.0845,0.2844,0.2962,0.0435,0.0428,0.0007
full,SWEET,med,security,med__security,0.0484,0.0934,0.2259,0.2413,0.0464,0.0505,0.004
nostop,SWEET,mis,security,mis__security,0.0943,0.1801,0.0939,0.1191,0.104,0.0847,0.0194
full,Unigram,med,security,med__security,0.0641,0.1282,0.2411,0.2554,0.0574,0.0707,0.0134
full,KGW,ai,security,ai__security,0.0462,0.0824,0.3218,0.3366,0.0441,0.0483,0.0042
nostop,KGW,bio,mis,bio__mis,0.1273,0.2449,0.1215,0.1567,0.1246,0.13,0.0054
nostop,KGW,ai,bio,ai__bio,0.084,0.1527,0.0837,0.1103,0.076,0.0919,0.0159
nostop,EXP,ai,bio,ai__bio,0.0743,0.1346,0.0782,0.1027,0.0733,0.0754,0.0021
nostop,Unigram,bio,med,bio__med,0.0872,0.173,0.0845,0.1068,0.1059,0.0685,0.0374
nostop,SynthID,med,mis,med__mis,0.0768,0.1511,0.0908,0.114,0.0748,0.0788,0.0039
full,EXP,med,security,med__security,0.046,0.0866,0.2971,0.3092,0.0414,0.0506,0.0093
full,EXP,med,mis,med__mis,0.0435,0.0866,0.2945,0.3043,0.0434,0.0435,0.0001
full,SWEET,med,mis,med__mis,0.0564,0.1071,0.2365,0.2549,0.0526,0.0602,0.0076
full,KGW,bio,security,bio__security,0.0563,0.104,0.3215,0.339,0.0534,0.0592,0.0058
full,SWEET,bio,mis,bio__mis,0.079,0.1523,0.2351,0.2534,0.0763,0.0816,0.0053
full,KGW,mis,security,mis__security,0.0565,0.1097,0.3265,0.3421,0.0567,0.0562,0.0005
nostop,EXP,med,mis,med__mis,0.082,0.1651,0.0916,0.1104,0.0835,0.0805,0.0029
nostop,SWEET,ai,bio,ai__bio,0.0553,0.1025,0.0551,0.0708,0.059,0.0517,0.0072
nostop,Unigram,ai,bio,ai__bio,0.0736,0.1459,0.0758,0.0956,0.0639,0.0833,0.0194
full,SynthID,ai,bio,ai__bio,0.0389,0.0707,0.2781,0.2922,0.0373,0.0405,0.0032
full,SynthID,med,mis,med__mis,0.0461,0.0895,0.2935,0.3071,0.0443,0.0479,0.0036
full,Unigram,bio,med,bio__med,0.0551,0.1081,0.2192,0.2336,0.065,0.0453,0.0198
full,SWEET,bio,med,bio__med,0.0501,0.0937,0.2114,0.2254,0.052,0.0481,0.0039
full,KGW,ai,bio,ai__bio,0.0457,0.0791,0.3131,0.329,0.0439,0.0474,0.0035
nostop,EXP,bio,security,bio__security,0.0927,0.1802,0.0968,0.1191,0.0903,0.0951,0.0049
full,EXP,ai,bio,ai__bio,0.0474,0.0822,0.2878,0.3044,0.0453,0.0494,0.0041
nostop,SynthID,ai,mis,ai__mis,0.0981,0.1898,0.1065,0.1311,0.1064,0.0898,0.0166
nostop,EXP,ai,med,ai__med,0.1006,0.1958,0.0981,0.1254,0.1105,0.0907,0.0198
nostop,SynthID,bio,mis,bio__mis,0.1173,0.2212,0.1206,0.1516,0.1254,0.1092,0.0162
nostop,SWEET,med,security,med__security,0.0752,0.1464,0.0725,0.0999,0.0757,0.0748,0.0008
nostop,EXP,ai,mis,ai__mis,0.1094,0.225,0.1174,0.1417,0.1223,0.0965,0.0258
full,SynthID,ai,security,ai__security,0.0394,0.0756,0.2874,0.2999,0.037,0.0418,0.0048
nostop,Unigram,ai,mis,ai__mis,0.1075,0.2096,0.0975,0.1254,0.1133,0.1018,0.0115
