setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
full,Unigram,ai,security,ai__security,0.0686,0.1498,0.0775,0.0909,0.0608,0.0763,0.0155
full,EXP,bio,mis,bio__mis,0.1091,0.2119,0.1103,0.1393,0.1161,0.1021,0.014
nostop,SynthID,ai,med,ai__med,0.0721,0.1415,0.0775,0.1002,0.0734,0.0708,0.0026
nostop,SynthID,ai,security,ai__security,0.0665,0.1332,0.0749,0.0952,0.0629,0.0701,0.0072
full,Unigram,bio,mis,bio__mis,0.094,0.1912,0.0868,0.1089,0.1003,0.0877,0.0126
full,KGW,med,mis,med__mis,0.084,0.1675,0.0903,0.1124,0.0807,0.0873,0.0066
full,SynthID,ai,med,ai__med,0.0721,0.1415,0.0775,0.1002,0.0734,0.0708,0.0026
full,KGW,ai,med,ai__med,0.0747,0.1527,0.0815,0.1033,0.0734,0.076,0.0026
full,Unigram,med,mis,med__mis,0.061,0.133,0.0623,0.0757,0.0639,0.0582,0.0056
nostop,KGW,bio,med,bio__med,0.0768,0.1536,0.0832,0.1045,0.0859,0.0678,0.0181
nostop,SynthID,ai,bio,ai__bio,0.0631,0.1236,0.07,0.0925,0.0603,0.0659,0.0056
full,EXP,bio,med,bio__med,0.0862,0.168,0.0888,0.1115,0.091,0.0815,0.0094
full,KGW,med,security,med__security,0.0848,0.1762,0.0907,0.1127,0.0803,0.0894,0.0092
nostop,KGW,ai,mis,ai__mis,0.1043,0.2085,0.0999,0.1318,0.105,0.1035,0.0015
nostop,SWEET,med,mis,med__mis,0.0819,0.1538,0.0835,0.1127,0.0768,0.087,0.0102
full,SynthID,mis,security,mis__security,0.0871,0.1766,0.0997,0.1197,0.0862,0.088,0.0018
full,SWEET,mis,security,mis__security,0.0894,0.1829,0.0923,0.1149,0.0969,0.0818,0.0151
nostop,SynthID,bio,security,bio__security,0.0809,0.1659,0.0901,0.113,0.0792,0.0826,0.0034
nostop,SWEET,ai,security,ai__security,0.0666,0.1335,0.0685,0.0873,0.0679,0.0654,0.0025
full,EXP,ai,mis,ai__mis,0.1074,0.2081,0.1089,0.1408,0.1179,0.097,0.0209
full,SWEET,ai,bio,ai__bio,0.0579,0.1133,0.0587,0.0774,0.0591,0.0567,0.0025
full,SynthID,med,security,med__security,0.0742,0.1486,0.0824,0.1022,0.0732,0.0752,0.002
nostop,Unigram,bio,mis,bio__mis,0.094,0.1912,0.0868,0.1089,0.1003,0.0877,0.0126
full,KGW,ai,mis,ai__mis,0.1043,0.2085,0.0999,0.1318,0.105,0.1035,0.0015
nostop,Unigram,bio,security,bio__security,0.0931,0.1901,0.0933,0.1143,0.0861,0.1001,0.014
nostop,EXP,mis,security,mis__security,0.1058,0.2044,0.1092,0.1394,0.0932,0.1183,0.0251
full,Unigram,bio,security,bio__security,0.0931,0.1901,0.0933,0.1143,0.0861,0.1001,0.014
nostop,EXP,bio,med,bio__med,0.0862,0.168,0.0888,0.1115,0.091,0.0815,0.0094
full,Unigram,ai,mis,ai__mis,0.082,0.1741,0.0808,0.0963,0.0881,0.076,0.0121
nostop,SWEET,ai,med,ai__med,0.0758,0.1441,0.0748,0.0999,0.0792,0.0724,0.0068
nostop,EXP,bio,mis,bio__mis,0.1091,0.2119,0.1103,0.1393,0.1161,0.1021,0.014
nostop,EXP,med,security,med__security,0.0862,0.1726,0.0914,0.1151,0.0809,0.0915,0.0106
full,SWEET,ai,med,ai__med,0.0758,0.1441,0.0748,0.0999,0.0792,0.0724,0.0068
full,EXP,bio,security,bio__security,0.0955,0.1903,0.098,0.1249,0.0915,0.0994,0.0079
nostop,EXP,ai,security,ai__security,0.0831,0.1721,0.0893,0.1154,0.0811,0.0851,0.004
nostop,SynthID,med,security,med__security,0.0742,0.1486,0.0824,0.1022,0.0732,0.0752,0.002
full,EXP,ai,med,ai__med,0.088,0.1751,0.0911,0.1179,0.0928,0.0831,0.0096
nostop,KGW,mis,security,mis__security,0.0957,0.1974,0.1021,0.1258,0.0921,0.0993,0.0072
nostop,Unigram,med,mis,med__mis,0.061,0.133,0.0623,0.0757,0.0639,0.0582,0.0056
full,SynthID,ai,mis,ai__mis,0.0914,0.1817,0.0977,0.1239,0.0911,0.0918,0.0008
nostop,Unigram,med,security,med__security,0.0851,0.1795,0.0863,0.1073,0.0749,0.0952,0.0204
full,KGW,bio,med,bio__med,0.0768,0.1536,0.0832,0.1045,0.0859,0.0678,0.0181
full,SWEET,ai,mis,ai__mis,0.1007,0.2014,0.0989,0.1274,0.0918,0.1096,0.0178
full,SWEET,bio,security,bio__security,0.0729,0.1476,0.072,0.094,0.074,0.0718,0.0022
full,EXP,mis,security,mis__security,0.1058,0.2044,0.1092,0.1394,0.0932,0.1183,0.0251
nostop,Unigram,mis,security,mis__security,0.0848,0.1753,0.0816,0.1034,0.0668,0.1028,0.036
full,EXP,ai,security,ai__security,0.0831,0.1721,0.0893,0.1154,0.0811,0.0851,0.004
nostop,SynthID,mis,security,mis__security,0.0871,0.1766,0.0997,0.1197,0.0862,0.088,0.0018
full,Unigram,mis,security,mis__security,0.0848,0.1753,0.0816,0.1034,0.0668,0.1028,0.036
nostop,KGW,ai,med,ai__med,0.0747,0.1527,0.0815,0.1033,0.0734,0.076,0.0026
nostop,KGW,ai,security,ai__security,0.0808,0.1655,0.0864,0.1079,0.0806,0.0809,0.0003
nostop,KGW,med,mis,med__mis,0.084,0.1675,0.0903,0.1124,0.0807,0.0873,0.0066
