setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
full,Unigram,ai,med,ai__med,0.0845,0.1799,0.0882,0.1048,0.0847,0.0843,0.0004
full,SynthID,bio,mis,bio__mis,0.1062,0.2099,0.1101,0.1408,0.1116,0.1009,0.0108
nostop,SWEET,bio,med,bio__med,0.0726,0.1426,0.0728,0.0942,0.0729,0.0724,0.0005
full,KGW,bio,mis,bio__mis,0.1148,0.2308,0.1137,0.1455,0.1213,0.1082,0.0131
nostop,KGW,bio,security,bio__security,0.0905,0.1796,0.0944,0.1192,0.0931,0.088,0.005
nostop,Unigram,ai,security,ai__security,0.0686,0.1498,0.0775,0.0909,0.0608,0.0763,0.0155
nostop,SWEET,ai,mis,ai__mis,0.1007,0.2014,0.0989,0.1274,0.0918,0.1096,0.0178
nostop,SynthID,bio,med,bio__med,0.0741,0.1451,0.0808,0.1022,0.0755,0.0728,0.0026
full,SynthID,bio,med,bio__med,0.0741,0.1451,0.0808,0.1022,0.0755,0.0728,0.0026
nostop,SWEET,bio,mis,bio__mis,0.1036,0.2137,0.1007,0.1266,0.099,0.1082,0.0092
nostop,SWEET,bio,security,bio__security,0.0729,0.1476,0.072,0.094,0.074,0.0718,0.0022
nostop,KGW,med,security,med__security,0.0848,0.1762,0.0907,0.1127,0.0803,0.0894,0.0092
full,SWEET,ai,security,ai__security,0.0666,0.1335,0.0685,0.0873,0.0679,0.0654,0.0025
nostop,Unigram,ai,med,ai__med,0.0845,0.1799,0.0882,0.1048,0.0847,0.0843,0.0004
full,Unigram,ai,bio,ai__bio,0.0591,0.1177,0.0628,0.0793,0.0543,0.0639,0.0096
full,SynthID,bio,security,bio__security,0.0809,0.1659,0.0901,0.113,0.0792,0.0826,0.0034
full,SWEET,med,security,med__security,0.0718,0.138,0.0728,0.0969,0.0698,0.0738,0.0041
nostop,SWEET,mis,security,mis__security,0.0894,0.1829,0.0923,0.1149,0.0969,0.0818,0.0151
full,Unigram,med,security,med__security,0.0851,0.1795,0.0863,0.1073,0.0749,0.0952,0.0204
full,KGW,ai,security,ai__security,0.0808,0.1655,0.0864,0.1079,0.0806,0.0809,0.0003
nostop,KGW,bio,mis,bio__mis,0.1148,0.2308,0.1137,0.1455,0.1213,0.1082,0.0131
nostop,KGW,ai,bio,ai__bio,0.0648,0.1285,0.0743,0.0935,0.0584,0.0712,0.0128
nostop,EXP,ai,bio,ai__bio,0.0719,0.1413,0.079,0.1013,0.0741,0.0697,0.0044
nostop,Unigram,bio,med,bio__med,0.072,0.1466,0.0707,0.0914,0.083,0.0611,0.0219
nostop,SynthID,med,mis,med__mis,0.0744,0.151,0.0896,0.109,0.0772,0.0715,0.0057
full,EXP,med,security,med__security,0.0862,0.1726,0.0914,0.1151,0.0809,0.0915,0.0106
full,EXP,med,mis,med__mis,0.0805,0.1612,0.0939,0.1135,0.0838,0.0772,0.0066
full,SWEET,med,mis,med__mis,0.0819,0.1538,0.0835,0.1127,0.0768,0.087,0.0102
full,KGW,bio,security,bio__security,0.0905,0.1796,0.0944,0.1192,0.0931,0.088,0.005
full,SWEET,bio,mis,bio__mis,0.1036,0.2137,0.1007,0.1266,0.099,0.1082,0.0092
full,KGW,mis,security,mis__security,0.0957,0.1974,0.1021,0.1258,0.0921,0.0993,0.0072
nostop,EXP,med,mis,med__mis,0.0805,0.1612,0.0939,0.1135,0.0838,0.0772,0.0066
nostop,SWEET,ai,bio,ai__bio,0.0579,0.1133,0.0587,0.0774,0.0591,0.0567,0.0025
nostop,Unigram,ai,bio,ai__bio,0.0591,0.1177,0.0628,0.0793,0.0543,0.0639,0.0096
full,SynthID,ai,bio,ai__bio,0.0631,0.1236,0.07,0.0925,0.0603,0.0659,0.0056
full,SynthID,med,mis,med__mis,0.0744,0.151,0.0896,0.109,0.0772,0.0715,0.0057
full,Unigram,bio,med,bio__med,0.072,0.1466,0.0707,0.0914,0.083,0.0611,0.0219
full,SWEET,bio,med,bio__med,0.0726,0.1426,0.0728,0.0942,0.0729,0.0724,0.0005
full,KGW,ai,bio,ai__bio,0.0648,0.1285,0.0743,0.0935,0.0584,0.0712,0.0128
nostop,EXP,bio,security,bio__security,0.0955,0.1903,0.098,0.1249,0.0915,0.0994,0.0079
full,EXP,ai,bio,ai__bio,0.0719,0.1413,0.079,0.1013,0.0741,0.0697,0.0044
nostop,SynthID,ai,mis,ai__mis,0.0914,0.1817,0.0977,0.1239,0.0911,0.0918,0.0008
nostop,EXP,ai,med,ai__med,0.088,0.1751,0.0911,0.1179,0.0928,0.0831,0.0096
nostop,SynthID,bio,mis,bio__mis,0.1062,0.2099,0.1101,0.1408,0.1116,0.1009,0.0108
nostop,SWEET,med,security,med__security,0.0718,0.138,0.0728,0.0969,0.0698,0.0738,0.0041
nostop,EXP,ai,mis,ai__mis,0.1074,0.2081,0.1089,0.1408,0.1179,0.097,0.0209
full,SynthID,ai,security,ai__security,0.0665,0.1332,0.0749,0.0952,0.0629,0.0701,0.0072
nostop,Unigram,ai,mis,ai__mis,0.082,0.1741,0.0808,0.0963,0.0881,0.076,0.0121
