setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
full,Unigram,ai,med,ai__med,0.0755,0.1508,0.2564,0.2695,0.0784,0.0726,0.0059
full,SynthID,bio,mis,bio__mis,0.0844,0.1602,0.3074,0.3316,0.0946,0.0743,0.0202
nostop,SWEET,bio,med,bio__med,0.0957,0.1912,0.0909,0.1132,0.0954,0.096,0.0007
full,KGW,bio,mis,bio__mis,0.0915,0.1699,0.335,0.3619,0.0918,0.0912,0.0007
nostop,KGW,bio,security,bio__security,0.128,0.2455,0.1225,0.164,0.125,0.1311,0.0061
nostop,Unigram,ai,security,ai__security,0.1169,0.2263,0.1079,0.1455,0.1098,0.124,0.0142
nostop,SWEET,ai,mis,ai__mis,0.1425,0.2636,0.1248,0.1678,0.1292,0.1559,0.0267
nostop,SynthID,bio,med,bio__med,0.1047,0.2073,0.1065,0.1348,0.108,0.1014,0.0066
full,SynthID,bio,med,bio__med,0.0648,0.1248,0.3008,0.3162,0.07,0.0596,0.0105
nostop,SWEET,bio,mis,bio__mis,0.1503,0.286,0.1346,0.171,0.1394,0.1611,0.0217
nostop,SWEET,bio,security,bio__security,0.1077,0.1973,0.0946,0.1268,0.1054,0.11,0.0046
nostop,KGW,med,security,med__security,0.1166,0.2274,0.1152,0.1475,0.1062,0.127,0.0208
full,SWEET,ai,security,ai__security,0.0632,0.1163,0.2292,0.2472,0.0614,0.065,0.0036
nostop,Unigram,ai,med,ai__med,0.1228,0.2405,0.1151,0.1391,0.1274,0.1182,0.0092
full,Unigram,ai,bio,ai__bio,0.0649,0.1247,0.2427,0.259,0.0601,0.0698,0.0097
full,SynthID,bio,security,bio__security,0.0645,0.1253,0.2995,0.3159,0.0678,0.0612,0.0065
full,SWEET,med,security,med__security,0.0695,0.1348,0.2423,0.2608,0.0623,0.0767,0.0144
nostop,SWEET,mis,security,mis__security,0.1235,0.2451,0.1219,0.1549,0.1341,0.1128,0.0213
full,Unigram,med,security,med__security,0.0787,0.1511,0.2477,0.2655,0.0714,0.0861,0.0148
full,KGW,ai,security,ai__security,0.0683,0.1221,0.3309,0.353,0.0676,0.0689,0.0013
nostop,KGW,bio,mis,bio__mis,0.1571,0.3005,0.1455,0.1894,0.1601,0.154,0.0061
nostop,KGW,ai,bio,ai__bio,0.1145,0.2052,0.1065,0.1399,0.1052,0.1237,0.0184
nostop,EXP,ai,bio,ai__bio,0.1096,0.2087,0.1007,0.1364,0.0991,0.1202,0.0211
nostop,Unigram,bio,med,bio__med,0.116,0.2243,0.1026,0.1324,0.1386,0.0934,0.0452
nostop,SynthID,med,mis,med__mis,0.1094,0.2261,0.1189,0.1474,0.1164,0.1023,0.0141
full,EXP,med,security,med__security,0.0735,0.1432,0.3158,0.334,0.0682,0.0788,0.0106
full,EXP,med,mis,med__mis,0.0622,0.1201,0.3042,0.3186,0.0623,0.0622,0.0001
full,SWEET,med,mis,med__mis,0.0715,0.1372,0.2421,0.2616,0.0649,0.0781,0.0132
full,KGW,bio,security,bio__security,0.0679,0.1286,0.3296,0.3504,0.0653,0.0706,0.0053
