setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
nostop,SynthID,ai,med,ai__med,0.0743,0.1532,0.0812,0.1034,0.0713,0.0773,0.0061
nostop,SynthID,ai,security,ai__security,0.0662,0.1389,0.0771,0.0956,0.0599,0.0725,0.0126
nostop,KGW,bio,med,bio__med,0.066,0.1349,0.0756,0.0953,0.0739,0.0581,0.0158
nostop,SynthID,ai,bio,ai__bio,0.0537,0.1152,0.0667,0.0823,0.0527,0.0548,0.0021
nostop,KGW,ai,mis,ai__mis,0.0862,0.179,0.0913,0.1149,0.0843,0.0881,0.0038
nostop,SWEET,med,mis,med__mis,0.0634,0.1308,0.0738,0.093,0.0631,0.0637,0.0006
nostop,SynthID,bio,security,bio__security,0.0772,0.1677,0.0886,0.1055,0.0732,0.0811,0.008
nostop,SWEET,ai,security,ai__security,0.0636,0.1346,0.0687,0.0865,0.0623,0.0649,0.0027
nostop,Unigram,bio,mis,bio__mis,0.0795,0.1637,0.0793,0.096,0.0857,0.0734,0.0123
nostop,Unigram,bio,security,bio__security,0.0764,0.159,0.0809,0.0959,0.0696,0.0831,0.0135
nostop,EXP,mis,security,mis__security,0.0765,0.1628,0.0883,0.1076,0.0743,0.0787,0.0045
nostop,EXP,bio,med,bio__med,0.0619,0.1312,0.0744,0.093,0.0646,0.0591,0.0056
nostop,SWEET,ai,med,ai__med,0.0639,0.1368,0.0701,0.0895,0.0631,0.0648,0.0017
nostop,EXP,bio,mis,bio__mis,0.082,0.1744,0.0928,0.1143,0.0859,0.078,0.008
nostop,EXP,med,security,med__security,0.0763,0.1576,0.084,0.1069,0.0765,0.0762,0.0003
nostop,EXP,ai,security,ai__security,0.0689,0.1415,0.0778,0.0988,0.0672,0.0707,0.0034
nostop,SynthID,med,security,med__security,0.0768,0.1598,0.0865,0.1057,0.0778,0.0758,0.0019
nostop,KGW,mis,security,mis__security,0.0777,0.1689,0.0888,0.107,0.0722,0.0832,0.0109
nostop,Unigram,med,mis,med__mis,0.0578,0.1243,0.0633,0.0758,0.0602,0.0554,0.0049
nostop,Unigram,med,security,med__security,0.0714,0.1506,0.077,0.0919,0.0666,0.0762,0.0096
nostop,Unigram,mis,security,mis__security,0.0703,0.1435,0.0723,0.0901,0.0575,0.083,0.0255
nostop,SynthID,mis,security,mis__security,0.0806,0.1635,0.0907,0.1126,0.0728,0.0884,0.0156
nostop,KGW,ai,med,ai__med,0.072,0.1525,0.0811,0.102,0.0743,0.0698,0.0045
nostop,KGW,ai,security,ai__security,0.0662,0.141,0.0766,0.0946,0.0623,0.07,0.0077
nostop,KGW,med,mis,med__mis,0.0673,0.1465,0.0809,0.0991,0.0654,0.0692,0.0038
nostop,SWEET,bio,med,bio__med,0.0574,0.1223,0.0634,0.0797,0.0606,0.0542,0.0063
nostop,KGW,bio,security,bio__security,0.0821,0.1712,0.0895,0.1108,0.0778,0.0864,0.0086
nostop,Unigram,ai,security,ai__security,0.0575,0.1217,0.0674,0.0805,0.0512,0.0638,0.0126
nostop,SWEET,ai,mis,ai__mis,0.082,0.1716,0.0881,0.1086,0.0763,0.0877,0.0114
nostop,SynthID,bio,med,bio__med,0.0659,0.1351,0.0757,0.0933,0.0635,0.0682,0.0047
nostop,SWEET,bio,mis,bio__mis,0.0832,0.1703,0.0859,0.1088,0.08,0.0864,0.0064
nostop,SWEET,bio,security,bio__security,0.0687,0.1465,0.0721,0.0898,0.066,0.0715,0.0055
nostop,KGW,med,security,med__security,0.0732,0.1624,0.085,0.101,0.0684,0.078,0.0095
nostop,Unigram,ai,med,ai__med,0.0644,0.1353,0.0708,0.0851,0.0594,0.0694,0.0101
nostop,SWEET,mis,security,mis__security,0.0826,0.1698,0.0882,0.1116,0.0871,0.0781,0.009
nostop,KGW,bio,mis,bio__mis,0.0926,0.1955,0.0983,0.1217,0.0973,0.088,0.0092
nostop,KGW,ai,bio,ai__bio,0.057,0.1163,0.0682,0.0847,0.0545,0.0595,0.0051
nostop,EXP,ai,bio,ai__bio,0.0538,0.1149,0.0676,0.0827,0.0511,0.0566,0.0056
nostop,Unigram,bio,med,bio__med,0.0553,0.1164,0.0611,0.0738,0.0571,0.0534,0.0037
nostop,SynthID,med,mis,med__mis,0.0663,0.1377,0.0815,0.1006,0.0724,0.0602,0.0121
nostop,EXP,med,mis,med__mis,0.0657,0.1361,0.0831,0.1005,0.0676,0.0638,0.0038
nostop,SWEET,ai,bio,ai__bio,0.0501,0.1057,0.0568,0.0717,0.0487,0.0516,0.0029
nostop,Unigram,ai,bio,ai__bio,0.0509,0.1042,0.0603,0.0715,0.0463,0.0554,0.0091
nostop,EXP,bio,security,bio__security,0.0825,0.1737,0.0877,0.1116,0.0826,0.0824,0.0002
nostop,SynthID,ai,mis,ai__mis,0.0804,0.1647,0.0872,0.1107,0.0821,0.0787,0.0034
nostop,EXP,ai,med,ai__med,0.0736,0.1474,0.0815,0.1079,0.0731,0.074,0.0009
nostop,SynthID,bio,mis,bio__mis,0.0898,0.1842,0.096,0.1216,0.0939,0.0857,0.0082
nostop,SWEET,med,security,med__security,0.0657,0.1408,0.0727,0.0899,0.0658,0.0655,0.0003
nostop,EXP,ai,mis,ai__mis,0.0809,0.1653,0.0906,0.1152,0.0831,0.0788,0.0042
nostop,Unigram,ai,mis,ai__mis,0.0714,0.1516,0.0741,0.0881,0.076,0.0668,0.0091
