setting,algorithm,domain_a,domain_b,pair,rwmd_sym,d_token,d_synset,d_lca,rwmd_a2b,rwmd_b2a,direction_gap
nostop,Unigram,med,mis,med__mis,0.0916,0.1999,0.0862,0.1065,0.0992,0.084,0.0152
nostop,KGW,mis,security,mis__security,0.121,0.2461,0.121,0.1535,0.1091,0.1328,0.0238
nostop,SynthID,bio,security,bio__security,0.114,0.2259,0.1096,0.1469,0.109,0.119,0.0099
nostop,KGW,bio,med,bio__med,0.1192,0.2359,0.1151,0.1482,0.1304,0.108,0.0224
nostop,SWEET,ai,bio,ai__bio,0.0866,0.1611,0.0775,0.1046,0.0897,0.0834,0.0063
nostop,KGW,bio,mis,bio__mis,0.1446,0.2831,0.1341,0.1742,0.1519,0.1374,0.0145
nostop,SynthID,ai,security,ai__security,0.0958,0.1945,0.097,0.1253,0.0869,0.1048,0.018
nostop,EXP,ai,med,ai__med,0.1198,0.2373,0.1129,0.1481,0.1194,0.1202,0.0008
nostop,EXP,bio,med,bio__med,0.1256,0.2469,0.1213,0.1546,0.1323,0.1188,0.0135
nostop,Unigram,bio,mis,bio__mis,0.1211,0.2415,0.1073,0.1368,0.1338,0.1084,0.0253
nostop,SWEET,ai,mis,ai__mis,0.1304,0.2524,0.1227,0.1605,0.1186,0.1421,0.0235
nostop,Unigram,med,security,med__security,0.1152,0.2348,0.111,0.1355,0.1062,0.1242,0.018
nostop,EXP,med,security,med__security,0.1134,0.2242,0.1139,0.1465,0.1086,0.1182,0.0096
nostop,Unigram,mis,security,mis__security,0.1154,0.23,0.1033,0.1371,0.0943,0.1365,0.0422
nostop,SWEET,med,mis,med__mis,0.1169,0.2231,0.1119,0.1508,0.108,0.1258,0.0178
nostop,KGW,ai,security,ai__security,0.1176,0.2256,0.1128,0.1475,0.1101,0.125,0.0149
nostop,Unigram,ai,security,ai__security,0.0998,0.2031,0.0997,0.1242,0.0943,0.1053,0.0109
nostop,SWEET,bio,med,bio__med,0.1015,0.2115,0.0954,0.1206,0.1007,0.1022,0.0014
nostop,SynthID,med,mis,med__mis,0.1067,0.2177,0.1146,0.1429,0.1115,0.102,0.0096
nostop,Unigram,ai,mis,ai__mis,0.1078,0.218,0.0983,0.1234,0.1147,0.1009,0.0138
nostop,SWEET,ai,med,ai__med,0.1037,0.208,0.0981,0.1274,0.1086,0.0988,0.0097
nostop,SynthID,mis,security,mis__security,0.1207,0.2335,0.1246,0.1592,0.1113,0.1302,0.0189
nostop,EXP,med,mis,med__mis,0.1092,0.2223,0.1172,0.1466,0.1123,0.1061,0.0061
nostop,SynthID,ai,mis,ai__mis,0.1186,0.2368,0.1181,0.1504,0.1146,0.1227,0.0081
nostop,SWEET,bio,security,bio__security,0.1092,0.214,0.1013,0.1299,0.1076,0.1108,0.0032
nostop,SWEET,med,security,med__security,0.0966,0.2004,0.0982,0.1232,0.0943,0.0988,0.0046
nostop,KGW,ai,mis,ai__mis,0.1334,0.2577,0.1259,0.1603,0.1292,0.1376,0.0084
nostop,SynthID,bio,med,bio__med,0.1102,0.2152,0.105,0.1389,0.1134,0.107,0.0064
nostop,EXP,bio,mis,bio__mis,0.1276,0.255,0.1281,0.1641,0.1393,0.116,0.0232
nostop,Unigram,ai,med,ai__med,0.1076,0.2154,0.1023,0.13,0.1072,0.1081,0.0009
nostop,KGW,ai,bio,ai__bio,0.1013,0.1928,0.0999,0.1275,0.0945,0.1081,0.0136
nostop,SynthID,ai,bio,ai__bio,0.0889,0.1783,0.0872,0.1143,0.0853,0.0925,0.0072
nostop,EXP,mis,security,mis__security,0.1216,0.238,0.1214,0.1578,0.1166,0.1267,0.0101
nostop,SynthID,med,security,med__security,0.1108,0.2179,0.109,0.1444,0.1055,0.1161,0.0107
nostop,KGW,ai,med,ai__med,0.1124,0.2259,0.1126,0.1427,0.1131,0.1117,0.0014
nostop,Unigram,ai,bio,ai__bio,0.0848,0.1705,0.0863,0.1057,0.0819,0.0877,0.0058
nostop,SWEET,ai,security,ai__security,0.0967,0.1971,0.0971,0.1224,0.0998,0.0936,0.0062
nostop,KGW,med,security,med__security,0.1183,0.2363,0.1158,0.1491,0.1028,0.1339,0.0311
nostop,EXP,ai,security,ai__security,0.1074,0.2141,0.1043,0.1408,0.0983,0.1165,0.0182
nostop,EXP,ai,mis,ai__mis,0.1238,0.2512,0.1189,0.1555,0.1191,0.1285,0.0094
nostop,Unigram,bio,security,bio__security,0.1258,0.2535,0.1199,0.1497,0.1179,0.1337,0.0158
nostop,SWEET,mis,security,mis__security,0.1187,0.2378,0.1203,0.1506,0.1267,0.1108,0.0159
nostop,EXP,bio,security,bio__security,0.1148,0.2329,0.117,0.1472,0.1144,0.1153,0.0009
nostop,SWEET,bio,mis,bio__mis,0.1417,0.27,0.1248,0.1645,0.134,0.1493,0.0153
nostop,Unigram,bio,med,bio__med,0.0993,0.205,0.0938,0.1181,0.1087,0.09,0.0187
nostop,EXP,ai,bio,ai__bio,0.0989,0.1987,0.0986,0.1293,0.0883,0.1095,0.0212
nostop,KGW,bio,security,bio__security,0.1248,0.2399,0.1183,0.1581,0.1199,0.1298,0.0099
nostop,SynthID,ai,med,ai__med,0.1083,0.2147,0.103,0.1355,0.1081,0.1086,0.0005
nostop,KGW,med,mis,med__mis,0.1092,0.2291,0.1131,0.1432,0.1062,0.1122,0.006
nostop,SynthID,bio,mis,bio__mis,0.1403,0.271,0.1363,0.176,0.1482,0.1324,0.0157
